程序导标记，不用翻译,,,,,,,
ID,name,desc,talk_pre,talk_accept,talk_doing,talk_finish,task_failed
836,Rescue Qu Yuan,Rescue Qu Yuan from Floating Devil.,"Qu Yuan was captured by Floating Devil, $username$, can you help?  Remember to go to Darkness Valley with partners!  Floating Devil is very powerful!",Wish you good luck!,You failed to rescue him?,"Good!  $username$, thanks a lot!",
837,Beloved Rice Dumpling,Help Dragon Boat Envoy collect materials for rice dumpling.,"Help me please, there is a gangster of Dragon Boat Thief Gangster who steals my material during each Dragon Boat Festival.  $username$, would you please find the materials back?  I will give you rewards.",Thanks a lot!,Have you collected enough?,"Good job, $username$, I'd like to give you a rice dumpling as reward!  Happy Dragon Boat Festival!",
838,Advanced Beloved Rice Dumpling,"Give the four words ""Love"", ""Deep"", ""Feeling"" and ""Dumpling"" to Envoy and get Dragon Boat Wine.","Good!  You found them!  Well, $username$, please give me the words to me!  I will treat you to wine!",You really did a good job!,Have you finished?,"Good!  $username$, here you are!  It's your rewards!",
839,Rescue Qu Yuan,Rescue Qu Yuan from Floating Devil.,"Qu Yuan was captured by Floating Devil, $username$, can you help?  Remember to go to Darkness Valley with partners!  Floating Devil is very powerful!",Wish you good luck!,You failed to rescue him?,"Good!  $username$, thanks a lot!",
840,A Decisive Battle of Stars,Please exterminate the evils in Seven Stars Stage for Reputation Merchant.,"Red Bat Killer and Bright Crystal Killer were apprentices of Blaze Skull Marshal and both of them are among the strongest characters.  But after Blaze Skull Marshal was killed by the heroes with Bewitcher Cave destroyed, they went to Golden Star Tao Guo for protection and kept bullying villagers with him in Dai's Field.  You are expected to kill all of them and their heelers!","$username$, it's up to you!","There are many evils guarding around the Star Tower,  you can never look down upon them!","Your good performance is beyond my expectation!  Take it, you deserve this reward!",
841,A Decisive Battle of Stars,Please exterminate the evils in Seven Stars Stage for Reputation Merchant.,"Red Bat Killer and Bright Crystal Killer were apprentices of Blaze Skull Marshal and both of them are among the strongest characters.  But after Blaze Skull Marshal was killed by the heroes with Bewitcher Cave destroyed, they went to Golden Star Tao Guo for protection and kept bullying villagers with him in Dai's Field.  You are expected to kill all of them and their heelers!","$username$, it's up to you!","There are many evils guarding around the Star Tower,  you can never look down upon them!","Your good performance is beyond my expectation!  Take it, you deserve this reward!",
842,A Decisive Battle of Stars,Please exterminate the evils in Seven Stars Stage for Reputation Merchant.,"Red Bat Killer and Bright Crystal Killer were apprentices of Blaze Skull Marshal and both of them are among the strongest characters.  But after Blaze Skull Marshal was killed by the heroes with Bewitcher Cave destroyed, they went to Golden Star Tao Guo for protection and kept bullying villagers with him in Dai's Field.  You are expected to kill all of them and their heelers!","$username$, it's up to you!","There are many evils guarding around the Star Tower,  you can never look down upon them!","Your good performance is beyond my expectation!  Take it, you deserve this reward!",
843,A Decisive Battle of Stars,Please exterminate the evils in Seven Stars Stage for Reputation Merchant.,"Red Bat Killer and Bright Crystal Killer were apprentices of Blaze Skull Marshal and both of them are among the strongest characters.  But after Blaze Skull Marshal was killed by the heroes with Bewitcher Cave destroyed, they went to Golden Star Tao Guo for protection and kept bullying villagers with him in Dai's Field.  You are expected to kill all of them and their heelers!","$username$, it's up to you!","There are many evils guarding around the Star Tower,  you can never look down upon them!","Your good performance is beyond my expectation!  Take it, you deserve this reward!",
844,A Decisive Battle of Stars,Please exterminate the evils in Seven Stars Stage for Reputation Merchant.,"Red Bat Killer and Bright Crystal Killer were apprentices of Blaze Skull Marshal and both of them are among the strongest characters.  But after Blaze Skull Marshal was killed by the heroes with Bewitcher Cave destroyed, they went to Golden Star Tao Guo for protection and kept bullying villagers with him in Dai's Field.  You are expected to kill all of them and their heelers!","$username$, it's up to you!","There are many evils guarding around the Star Tower,  you can never look down upon them!","Your good performance is beyond my expectation!  Take it, you deserve this reward!",
845,A Decisive Battle of Stars,Please exterminate the evils in Seven Stars Stage for Reputation Merchant.,"Red Bat Killer and Bright Crystal Killer were apprentices of Blaze Skull Marshal and both of them are among the strongest characters.  But after Blaze Skull Marshal was killed by the heroes with Bewitcher Cave destroyed, they went to Golden Star Tao Guo for protection and kept bullying villagers with him in Dai's Field.  You are expected to kill all of them and their heelers!","$username$, it's up to you!","There are many evils guarding around the Star Tower,  you can never look down upon them!","Your good performance is beyond my expectation!  Take it, you deserve this reward!",
846,Siege Fantasy Palace,Help Whorl Mountain Reputation Merchant eradicate the evil pawns in Fantasy Palace.,"$username$, I don't think you can finish this job alone, do you still want to take the challenge?",Ask some partners to go together!,Why are you still here?,Haha!  I am wondering Monk Yu De's reaction.,"Never mind, have another try."
847,Siege Fantasy Palace,Help Whorl Mountain Reputation Merchant eradicate the evil pawns in Fantasy Palace.,"$username$, I don't think you can finish this job alone, do you still want to take the challenge?",Ask some partners to go together!,Why are you still here?,hahaha... good job.  I am so satisfied with your work.,"Never mind, have another try."
848,Siege Fantasy Palace,Help Whorl Mountain Reputation Merchant eradicate the evil pawns in Fantasy Palace.,"$username$, I don't think you can finish this job alone, do you still want to take the challenge?",Ask some partners to go together!,Why are you still here?,hahaha... good job.  I am so satisfied with your work.,"Never mind, have another try."
849,Siege Fantasy Palace,Help Whorl Mountain Reputation Merchant eradicate the evil pawns in Fantasy Palace.,"$username$, I don't think you can finish this job alone, do you still want to take the challenge?",Ask some partners to go together!,Why are you still here?,hahaha... good job.  I am so satisfied with your work.,"Never mind, have another try."
850,Siege Fantasy Palace,Help Whorl Mountain Reputation Merchant eradicate the evil pawns in Fantasy Palace.,"$username$, I don't think you can finish this job alone, do you still want to take the challenge?",Ask some partners to go together!,Why are you still here?,hahaha... good job.  I am so satisfied with your work.,"Never mind, have another try."
851,Siege Fantasy Palace,Help Whorl Mountain Reputation Merchant eradicate the evil pawns in Fantasy Palace.,"$username$, I don't think you can finish this job alone, do you still want to take the challenge?",Ask some partners to go together!,Why are you still here?,hahaha... good job.  I am so satisfied with your work.,"Never mind, have another try."
914,Elite Floater,Exchange the bound Elite Floater with Immortal Lee for a new Elite Floater.,"I can provide free replacement of new Elite Floater!  If your Elite Floater is bound, welcome to visit me.  I can unbind it for you.",Never miss it!,Please visit me with required item.,Are you satisfied with it?,
915,Core Titanium Stone,Exchange the bound Core Titanium Stone with Immortal Lee for a new Core Titanium Stone.,"I can provide free replacement of new Core Titanium Stone!  If your Core Titanium Stone is bound, welcome to visit me.  I can unbind it for you.",Never miss it!,Please visit me with required item.,Are you satisfied with it?,
916,Collect Frock,Collect some frocks for Hard Monk.,"$username$, I am glad to meet you here.  Now I am too busy to deal with others, would you please help me?",Best wishes to you!,How's it going?,Thanks!  Bless you.,
917,Collect Map Chip,Collect some Map Chips for Hard Monk.,"$username$, I am glad to meet you here.  Now I am too busy to deal with others, would you please help me?",Best wishes to you!,How's it going?,Thanks!  Bless you.,
918,Collect Glaring Pearl,Collect some Glaring Pearls for Hard Monk.,"$username$, I am glad to meet you here.  Now I am too busy to deal with others, would you please help me?",Best wishes to you!,How's it going?,Thanks!  Bless you.,
919,Collection Activity,Collect some Fire Source Pearls for Hard Monk.,"$username$, I am glad to meet you here.  Now I am too busy to deal with others, would you please help me?",Best wishes to you!,How's it going?,Thanks!  Bless you.,
1469,Collect Manna,Get Manna from Mountain Ghost for Apothecary.,"Recently, some villagers' behavior seem strangely after coming back from the mountain for collecting woods.  I have asked Moon Dragon Priest to separate them from others.  Now let's start studying a new pill.  I need one kind of Manna, which is not the dew on the plants.  It is stored in the inner part of Mountain Ghost.  If you are able to collect enough those Manna, then they can heal them effectively.  Please collect them soon and keep them clean.",Have you finished?,I need your further help.,"Ok, they are available.  Let's move on to the next step.",
1470,Collect  Ganoderma Grass,Get Ganoderma Grass from Mountain Ghost for Apothecary.,"There is one special kind of creature in Dry Woods, which is called ""Evil Ganoderma"".  With the appearance of human being, it has special power.  It's said that it is controlled by Enchanter Tagel.  No matter it's true or not, I hope you can bring Evil Ganoderma back.",Please take care!,It's not difficult for you.,"Well begun, half done!",
1489,Enhance Awareness,Talk to Presbyter about Moon Dragon Priest's worry.,Bad news!  Celestial Map has showed that there would be new demon soon.  So we must be alert at any time.  Please go to report to presbyter and raise awareness.,All our villagers will join together!,Have you reported to presbyter?,What?  Some unknown demons will attack our village?  I cannot believe it...  So disturbing!,
1490,Turn to Apothecary for Help,Tell Apothecary the decision of Presbyter.,I am sorry to hear that.  What we can do now is to find a right person to get rid of the crisis.  Our Apothecary may be qualified.  I hope you can visit him for help.,Apothecary is a kind person.,Have you finished?,"Don't worry, I am able to protect our villagers.",
1491,Get Realgar,Eliminate Blazing Stone Ogre to get Realgar and give it to Apothecary.,It's very touch now.  We should establish a strong defense now.  Please collect some Realgar for me from the Blazing Stone Ogre.,This Realgar is different from the ordinary one.,Have you finished?,"Those Realgar is very active, so those Blazing Stone Ogres have long life span.",
1492,Collect Bat's Blood,Kill Bloodthirsty Bat to get Bat's Blood and give it to Moon Dragon Priest.,"Good, we have prepared enough Realgar.  Now we need some Bloodthirsty Bat's blood.  Please collect some for me.","Without poison, this blood can be taken.",Have you finished?,Good job!,
1493,Get Loongwa's Soul,Eliminate Lion Captain Loongwa and give its soul to Moon Dragon Priest.,Material cannot produce effect without special tools.  And now Loongwa's soul is my best pursuit.  Please kill Loongwa and get his soul for me.,Loongwa is so stupid that he turned to real demon after practicing soul.,Have you killed Lion Captain Loongwa?,Let's make materials with his soul.,
1494,Get Occult Fire,Eliminate Flaming Lion to get Occult Fire and give it to Moon Dragon Priest.,Now I need some nimbus to enhance my treasure's magic.  There is a Occult Fire inside Flaming Lion's body.  Go to eliminate Flaming Lion and get the Occult Fire for me.,Take care!,Have you finished?,Occult Fire is as active as Realgar.,
1495,Get Wolf Spirit,Eliminate Blue Wolf to get Wolf Spirit and give it to Moon Dragon Priest.,"If we can get the Wolf Spirit from Blue Wolf, then our villagers will succeed to cope with the ordinary demons.  You don't believe, do you?  Well, go to take it back and I will show you!","Don't worry, go ahead!",Have you finished?,"Fire Soul Crystal can drive the demons away, so it's a good weapon.",
1496,Know History of Moon Dragon Village,Know about the history of Moon Dragon Village from Presbyter.,"Where do you come from?  Oh, you must be summoned by the justice.  It's urgent now, so I will make a long story short.  Are you willing to take this important mission?",Now it's up to you!,Have you finished?,I am too old to control the current situation.  Now I can only rely on you.,
1497,Show Your Talent,Eliminate Muscle Clawman for Presbyter.,Our first target is the Muscle Clawman.  Go to eliminate them and rescue our assimilated villagers.,Please take care!,Have you finished?,"Good, but do not lower your guard.  There's still a long way to go.",
1498,History of Ancient Book,Know about the mystic Ancient Book from Presbyter.,Those ancient books which records the twelve golden masters has been given to the new Moon Dragon Priest.  But some pages are still missing.,Thank you for help me!,Have you finished?,You are a good helper.,
1499,Get Page of Silver Fox Cave Map,Kill Veins Silver Fox and get Page of Silver Fox Cave Map.,"These days, several kids have been kidnapped by the demons around the ruins.  But it's easy to get lost in that area.  Veins Silver Fox has the Page of Silver Fox Cave Map.  Now it's up to you!",Please take care!,Have you finished?,Now please go to detect the ruins.,
1500,Get Ready for Battle,Kill Bloodthirsty Bat for Presbyter.,Bloodthirsty Bat is one of the demons around ruins.  They will be useful for our research.  Please kill them.,Never look down upon them!,Have you finished?,You are so talented!,
1501,Removal of Obstruction,Kill Crimson Scorpion to remove the obstruction in the road to ruins.,"Many demons which guard the ruins are summoned by some special magic.  Though it's difficult to eliminate them totally, we are able to destroy this magic.  Now Crimson Scorpions are guarding that area.  Please eliminate them soon!",Take care!,Have you finished?,You are so talented!,
1502,Find lost Ancient Book,Look for the lost Ancient Book for Presbyter.,Good news!  The lost ancient book will be found soon!  Those demons in Simen Mountain were so silly that they didn't recognize it.  So they threw it.  It's a good chance for us.  Are you willing to help us?,Please look for them carefully!,Have you finished?,"With this Ancient Book, peaceful life will be back soon.",
1503,Know about Inside Story,Know about the inside story of new enchanters from Presbyter.,"Though I have been living here for many years, I don't know much about Simen Mountain.  New demons have appeared in Simen Mountain, but I am unable to help.  I know something about this demon, are you interested?","His name is Malefic Hong, whose wife is ",Have you finished?,The two traitor of evil apprentice are important for us.  Let's take this chance to achieve our goals.,
1504,Get Fire Radix,Kill Flaming Lion to get Fire Radix and give it to Presbyter.,"I have been researching the magic of the demons, and I've got the answer from the ancient books.  Actually, what we need now is the Fire Radix, which can be got from Flaming Lion.  Could you help us?",Please get the Fire Radix for me.,Have you finished?,It's a rightful result.,
1505,Get Water Radix,Kill Floating Fire Pearl to get Water Radix and give it to Presbyter.,Now we need eliminate Floating Fire Pearl to get Water Radix.  Hope you can help us again!,It's time to test you.,Have you finished?,It's a rightful result.,
1506,Get Wood Radix,Kill Tree Warrior to get Wood Radix and give it to Presbyter.,Now we need eliminate Tree Warrior to get Wood Radix.  Hope you can help us again!,It's time to test you.,Have you finished?,It's a rightful result.,
1507,Get Metal Radix,Kill Blue Wolf to get Metal Radix and give it to Presbyter.,Now we need eliminate Blue Wolf to get Metal Radix.  Hope you can help us again!,It's time to test you.,Have you finished?,It's a rightful result.,
1508,Exterminate Malefic Hong,"Eliminate the biggest disaster ""Malefic Hong"" in Simen Mountain.","It's time to eliminate Malefic Hong!  Don't worry, try your best!",He deserves it!,Have you finished?,I am convinced that victory will come to us!,
1509,Dispel Ghosts,Exterminate Burning Deadwood、Evil Ganoderma and Dark Spirit for Master Young.,There are many demons around the Simen Mountain.  It's my mission to exterminate all of them.  Can you help me?,Great!  I believe you.,Have you finished?,I admire you so much!,
1510,Fight for Revenge,"Eliminate Rowdy Bandit, Ruffian and Fighting Disciple for villagers",Fighting Disciple and Rowdy Bandit have been threatening our kind villagers.  Would you please eliminate them?,It's up to you now.,Have you finished?,Millions of thanks to you!  You've contributed a lot to our whole village.,
1511,Collect Moon Dragon Fruit and Muskiness,Collect some Moon Dragon Fruit and Muskiness for Herborizing Apothecary.,Moon Dragon Fruitland Musk Deer are gifts from the nature.  Moon Dragon Fruit can heal wound and Musk Deer can be used to recover other kinds of injury.  So both of them are very precious.  I need collect them for my injured brother.  But it's difficult for me to do it myself.  Would you please me?,Thanks a lot.,Have you collected Moon Dragon Fruit?,God bless you...,
1512,Friend's Wishes,Go to South of Simen Mountain to visit Sir Moon Dragon for Hunter Chief.,"Sir Moon Dragon is my old friend.  Several days ago, presbyter asked him to detect the Simen Mountain Silver Fox Cave.  If you meet him, please ask him to come back soon.",Thanks.,Have you met him?,Hehe...  I will meet him soon.,
1513,Fear From Heart,Eliminate Golden Horn and Silver Horn for villagers.,"One day, a gust of wind brought me to a mystic cave.  In that cave, I heard some demons talking about eating the persons they caught.  I was scared to death at that time.  Later, I took a chance and escaped successfully.  So horrible!",Let me have a break first.,How's it going?,"You really killed all of them, didn't you?  I believe you...  Now I am relieved.",
1514,Mission of Master Young,"Eliminate Veins Silver Fox, Bloodthirsty Bat, Crimson Scorpion and Blazing Stone Ogre for Master Young.",There must be a powerful demon near the ruins.  My master asked me to come there to kill it.  I hope you can help me.,Kill all of them!,"I have no time, please don't brother me.",Thank you for your help.,
274,Trapping Tool,Help Zhu Wen to collect some materials for trapping tool.,"$username$, would you please do me a favor?  I will surely give you rich rewards.  Blacksmith has promised to me to make a batch of beast traps for me, but he's too busy with Combine and Identification every day.  He's told me that making the trap only needs peach branch and parts of the Machine Monster, so I hope you can collect them for me.","Hurry up, we need a lot!",Did you bring the item I need?,Thank you so much!  Now I am relieved with your help!,
275,Fight for Justice,To accept Sun Nan's Invitation,"$username$, hope it's not too late.  Our underestimation of the evils has led to their total control of Wei's Village.  Those refugees told me that this place is now stationed by Wei's Village guards.  If you can help us, hope still lies ahead!",It's up to you!,Go ahead!,Great!,
493,Ancient Catacomb Fragment,Help Loo's Graves Keeper to collect some Catacomb Fragments.,I have a myth key which determines your future practice.  I will send one Catacomb Fragment to the one who would like to go to Seven Stars Stage and perish those hiding evils.,Hurry up!,Have you finished?,"Great!  This fragment is for you, keep going on!",
494,Ancient Catacomb Key,Get the Catacomb Key from Loo's Graves Keeper.,Have you collected enough Catacomb Fragments?,"Ok, let me check your fragments.",Please visit me after you collect enough fragments.,"Here is the Catacomb Key!  With this key, you can practice in more advanced areas. ",
510,Divine Beast Scrolls,"According to what Immortal Lee said, please go to the Snake Cave on Cloud Mountain, Rattan Cave on Tiger Mountain and the Happiness Hall in Black Wind Camp to collect all three Divine Beast Scrolls. Then exchange them for the Divine Beast with Immortal Lee.","Stone City has seen more and more people coming all the way from different places.  It's reported that their common target is the Divine Beast, which was originally one of the Four-Image of the Heaven.  It is shaped like a tiger.  If you wanna get this Divine Beast, you have to get the Divine Beast scroll from the Snake Cave on Cloud Mountain, Rattan Cave on Tiger  Mountain and Happiness Hall in Mercy Temple.  Hahaha...  Are you scared?  I have no more to tell you, hope you can bring the good news back.",It will be a hard trip.  You cannot finish it all by yourself.  You'd better ask some partners to go with you.,"Why are you still here?  Don't tell me that you have forgotten it.  The three scrolls are in scenarios, take care of yourself!",Hahaha...   It never occurred to me that we can meet again.  It's unexpected that you get the three Divine Beast Scrolls.  Heroes really come from younger generations.,"Never mind, you may try again next time."
511,Blood Palace Seal,It's only available for members of Blood Palace!,"$username$, welcome to join our Blood Palace elites.  Each of our members can learn Blood Palace exercising, which can benefits you a lot in beating the enemy!",Hehe!  So many talented persons in Stone City!,Why are you still here?,Well done!,
512,Try Your Hand,Demonstrate your power!,"$username$, PK Arena is a place for all brave heroes.  If you are tired of regular killing for levelup, then this is a good place for you!",Hurry up!,Why are you still here?,Well done!,
513,[no_use]双倍经验药丸免费领取,[no_use],[no_use],[no_use],[no_use],[no_use],[no_use]
514,"[no_use]恭喜发财,红包拿来!",[no_use],[no_use],[no_use],[no_use],[no_use],[no_use]
515,"[no_use]年兽出没,新年出击!",[no_use],[no_use],[no_use],[no_use],[no_use],[no_use]
516,[no_use]新手欢庆新年任务,[no_use],[no_use],[no_use],[no_use],[no_use],[no_use]
517,[no_use]高手欢庆新年任务,[no_use],[no_use],[no_use],[no_use],[no_use],[no_use]
518,[no_use]高手之高高手欢庆新年任务,[no_use],[no_use],[no_use],[no_use],[no_use],[no_use]
519,[no_use]问候前辈,[no_use],[no_use],[no_use],[no_use],[no_use],[no_use]
520,Show Your Talents 1,Demonstrate your power!,"$username$, PK Arena is a place for all brave heroes.  If you are tired of regular killing for levelup, then this is a good place for you!",Hurry up!,Why are you still here?  Finish quest can bring rich rewards to you!,Good job!  Keep it up!  More challenges are waiting for you!,
521,Show Your Talents 2,Demonstrate your power!,"$username$, PK Arena is a place for all brave heroes.  If you are tired of regular killing for levelup, then this is a good place for you!",Hurry up!,Why are you still here?  Finish quest can bring rich rewards to you!,Good job!  Keep it up!  More challenges are waiting for you!,
522,Meet New Friend (First),"With 5 friends or above in your Friend List, you can get rewards from Shopman.","When away from home, you should depend on friends to share happiness and burden.  Find your friends soon!
(Right click target's avatar to add him/her as your friend.)",Find your friends now!,How's it going?,Congratulations!  Please bear in mind to make friends with your sincerity and honesty.,
